許思萊,tśʰjieᴮ
高本漢,ȶʰa
高本漢,tɕʰie̯
高本漢,tɑ
高本漢,tɕʰi̯a
高本漢,tɕʰi
高本漢,ȶa
王力,ȶʰa
王力,tɕʰǐe
王力,tɑ
王力,tɕʰĭa
王力,tɕʰĭə
王力,ȶa
王力,tɕʰǐe
王力,tɕʰǐa
王力,tɕʰǐə
李方桂,ṭha
李方桂,tśhjĕ
李方桂,tâ
李方桂,tśhja
李方桂,tśhï
李方桂,ṭa
張世祿,ȶʰa
張世祿,tɕʰjɛ
張世祿,tɑ
張世祿,tɕʰia
張世祿,tɕʰi
張世祿,ȶa
嚴學宭,ʈʰa:
嚴學宭,tɕʰie
嚴學宭,tɑ
嚴學宭,tɕʰja
嚴學宭,tɕʰji
嚴學宭,ʈa:
董同龢,ȶʰa
董同龢,tɕʰje
董同龢,tɑ
董同龢,tɕʰja
董同龢,tɕʰi
董同龢,ȶa
周法高,ʈʰa
周法高,tɕʰiɪ
周法高,tɑ
周法高,tɕʰia
周法高,tɕʰi
周法高,ʈa
李榮,ȶʰa
李榮,tɕʰie
李榮,tɑ
李榮,tɕʰia
李榮,tɕʰiə
李榮,ȶa
蒲立本,ʈʰaɨ
蒲立本,cʰiə̆
蒲立本,ta
蒲立本,cʰia
蒲立本,cʰɨ
蒲立本,ʈaɨ
邵榮芬,ȶʰa
邵榮芬,tɕʰjɛ
邵榮芬,tɑ
邵榮芬,tɕʰia
邵榮芬,tɕʰie
邵榮芬,ȶa
鄭張尚芳,ʈʰɣa
鄭張尚芳,tɕʰiᴇ
鄭張尚芳,tɑ
鄭張尚芳,tɕʰia
鄭張尚芳,tɕʰɨ
鄭張尚芳,ʈɣa
陳新雄,ȶʰa
陳新雄,tɕʰǐɛ
陳新雄,tɑ
陳新雄,tɕʰǐa
陳新雄,tɕʰǐə
陳新雄,ȶa
潘悟雲,ʈʰɯa
潘悟雲,tɕʰiɛ
潘悟雲,tɑ
潘悟雲,tɕʰia
潘悟雲,tɕʰɨ
潘悟雲,ʈɯa
楊劍橋,ȶʰa
楊劍橋,tɕʰjɛ
楊劍橋,tɑ
楊劍橋,tɕʰia
楊劍橋,tɕʰi
楊劍橋,ȶa
斯塔羅斯金,ćhá
白一平-沙加爾,tsyheX
白一平-沙加爾,tsyhaeX
麥耘,ʈʰra
麥耘,tɕʰiɛ
麥耘,tɒ
麥耘,tɕʰia
麥耘,tɕʰiə
麥耘,ʈra
