許思萊,tśjäp
高本漢,tɕi̯əp
高本漢,dzʱi̯əp
高本漢,tɕi̯ɛp
高本漢,niep
王力,tɕĭĕp
王力,dzĭĕp
王力,tɕĭɛp
王力,niep
王力,tɕǐěp
王力,dzǐěp
王力,tɕǐɛp
李方桂,tśjəp
李方桂,dzjəp
李方桂,tśjäp
李方桂,niep
張世祿,tɕjep
張世祿,dzjep
張世祿,tɕjæp
張世祿,nɛp
嚴學宭,tɕjəp
嚴學宭,dzjəp
嚴學宭,tɕjæp
嚴學宭,nep
董同龢,tɕjep
董同龢,dzʱjep
董同龢,tɕjæp
董同龢,niɛp
董同龢,dzʰjep
周法高,tɕiɪp
周法高,dziɪp
周法高,tɕiæp
周法高,niɛp
李榮,tɕiəp
李榮,dziəp
李榮,tɕiɛp
李榮,nep
蒲立本,cip
蒲立本,dzip
蒲立本,ciap
蒲立本,nɛp
邵榮芬,tɕjep
邵榮芬,dzjep
邵榮芬,tɕjæp
邵榮芬,nɛp
鄭張尚芳,tɕiɪp
鄭張尚芳,dziɪp
鄭張尚芳,tɕiᴇp
鄭張尚芳,nep
陳新雄,tɕǐəp
陳新雄,dzʰǐəp
陳新雄,tɕǐɛp
陳新雄,niep
潘悟雲,tɕip
潘悟雲,dzip
潘悟雲,tɕiɛp
潘悟雲,nep
楊劍橋,tɕjep
楊劍橋,dzjep
楊劍橋,tɕjæp
楊劍橋,nɛp
斯塔羅斯金,ćip
白一平-沙加爾,tsyip
白一平-沙加爾,tsyep
白一平-沙加爾,nep
麥耘,tɕip
麥耘,dzip
麥耘,tɕiɛp
麥耘,nɛp
