許思萊,pʰjwɐn
高本漢,bʱi̯wɐn
高本漢,pʰi̯wɐn
高本漢,pʰuɑn
高本漢,puɑ
王力,bĭwɐn
王力,pʰĭwɐn
王力,pʰuɑn
王力,puɑ
王力,bǐwɐn
王力,pʰǐwɐn
李方桂,bjwɐn
李方桂,phjwɐn
李方桂,phuân
李方桂,puâ
張世祿,biuɐn
張世祿,pʰiuɐn
張世祿,pʰuɑn
張世祿,puɑ
嚴學宭,bjuɑn
嚴學宭,pʰjuɑn
嚴學宭,pʰuɑn
嚴學宭,puɑ
董同龢,bʱjuɐn
董同龢,pʰjuɐn
董同龢,pʰuɑn
董同龢,puɑ
董同龢,bʰjuɐn
周法高,biɑn
周法高,pʰiɑn
周法高,pʰuɑn
周法高,puɑ
李榮,biuɐn
李榮,pʰiuɐn
李榮,pʰuɑn
李榮,puɑ
蒲立本,buan
蒲立本,pʰuan
蒲立本,pʰwan
蒲立本,pwa
蒲立本,pa
蒲立本,pua
蒲立本,fjyan / faːn
蒲立本,pʰan
邵榮芬,biuɐn
邵榮芬,pʰiuɐn
邵榮芬,pʰuɑn
邵榮芬,puɑ
鄭張尚芳,bʉɐn
鄭張尚芳,pʰʉɐn
鄭張尚芳,pʰuɑn
鄭張尚芳,puɑ
陳新雄,bvʰǐuɐn
陳新雄,pfʰǐuɐn
陳新雄,pʰuɑn
陳新雄,puɑ
潘悟雲,bʷiɐn
潘悟雲,pʰʷiɐn
潘悟雲,pʰʷɑn
潘悟雲,puɑ
楊劍橋,biuɐn
楊劍橋,pʰiuɐn
楊劍橋,pʰuɑn
楊劍橋,puɑ
斯塔羅斯金,phwan
斯塔羅斯金,phwǝn
白一平-沙加爾,phjon
白一平-沙加爾,pa
麥耘,byon
麥耘,pʰyon
麥耘,pʰuɒn
麥耘,puɒ
