許思萊,xjweiᴮ
高本漢,xwăi
高本漢,xuɑ̆i
高本漢,xwe̯i
高本漢,xjwe̯i
王力,xwɐi
王力,xuɒi
王力,xĭwəi
王力,hwɐi
王力,huɒi
王力,hǐwəi
李方桂,xwăi
李方桂,xuậi
李方桂,xjwĕi
張世祿,xuɐi
張世祿,xuɒi
張世祿,xiuəi
嚴學宭,xuɐ:i
嚴學宭,xuai
嚴學宭,xjuəi
董同龢,xuɐi
董同龢,xuᴀi
董同龢,xjuəi
董同龢,xuAi
周法高,xuɛi
周法高,xuəi
周法高,xiuəi
李榮,xuɛi
李榮,xuᴀi
李榮,xiuəi
蒲立本,hwəɨj
蒲立本,hwəj
蒲立本,huj
蒲立本,xwəj
蒲立本,xuaj
蒲立本,xujʼ
蒲立本,xyj´
邵榮芬,xuɐi
邵榮芬,xuɒi
邵榮芬,xiuəi
鄭張尚芳,hɣuɛi
鄭張尚芳,huʌi
鄭張尚芳,hʉi
陳新雄,xuɐi
陳新雄,xiuəi
陳新雄,xǐuəi
潘悟雲,hʷɯæi
潘悟雲,huoi
潘悟雲,hʷɨi
楊劍橋,xuɐi
楊劍橋,xuᴀi
楊劍橋,xiuəi
斯塔羅斯金,hwɨj
斯塔羅斯金,xwɨ́j
白一平-沙加爾,xwoj
白一平-沙加爾,xjw+jX
麥耘,hruɛi
麥耘,hui
麥耘,hyəi
