許思萊,ʔât
高本漢,ʔien
高本漢,ʔi̯ɛn
高本漢,ʔɨ̯ɐt
高本漢,ʔɑt
王力,Øien
王力,Øĭɛn
王力,Øĭɐt
王力,Øɑt
王力,0ien
王力,0ǐɛn
王力,0ǐɐt
王力,0ɑt
李方桂,·ien
李方桂,·jän
李方桂,·jɐt
李方桂,·ât
張世祿,ʔɛn
張世祿,ʔiæn
張世祿,ʔiɐt
張世祿,ʔɑt
嚴學宭,ʔen
嚴學宭,ʔjɛn
嚴學宭,ʔjɑt
嚴學宭,ʔɑt
董同龢,ʔiɛn
董同龢,ʔjǣn
董同龢,ʔjɐt
董同龢,ʔɑt
董同龢,ʔjæ̆n
周法高,ʔiɛn
周法高,ʔian
周法高,ʔiɑt
周法高,ʔɑt
李榮,ʔen
李榮,ʔjɛn
李榮,ʔiɐt
李榮,ʔɑt
蒲立本,ʔɛn
蒲立本,ʔian
蒲立本,ʔɨat
蒲立本,ʔat
蒲立本,ʔjian
邵榮芬,ʔɛn
邵榮芬,ʔiæn
邵榮芬,ʔiɐt
邵榮芬,ʔɑt
鄭張尚芳,ʔen
鄭張尚芳,ʔɣiᴇn
鄭張尚芳,ʔɨɐt
鄭張尚芳,ʔɑt
陳新雄,ʔien
陳新雄,ʔǐɛn
陳新雄,ʔǐɐt
陳新雄,ʔɑt
潘悟雲,ʔen
潘悟雲,ʔɯiɛn
潘悟雲,ʔiɐt
潘悟雲,ʔɑt
楊劍橋,ʔɛn
楊劍橋,ʔiæn
楊劍橋,ʔiɐt
楊劍橋,ʔɑt
斯塔羅斯金,ʔāt
斯塔羅斯金,ʔât
白一平-沙加爾,'at
麥耘,ʔɛn
麥耘,ʔriɛn
麥耘,ʔiot
麥耘,ʔɒt
